Accession.no.;tbHomologue;geneName;X;dragsetCall;IreneCall;geckoCall;bagelCall;griffinCall;sassettiCall;deJesusCall;bestGuideRatio;bestGuide;gbAnnotation;X.1;X.2;X.3;Position;X.5;Name;Function;Product;TU (Nanopore RNA-Seq);Position
MSMEG_2776;Rv2682c;dxs;01 A11;ES;ES;ES;ES;ES;ES;ES;-7.883277751;MSMEG_2776_3;Deoxyxylulose-5-phosphate synthase [Coenzyme transport and metabolism, Lipid transport and metabolism]; Region: Dxs; COG1154;;Only Gene;;dxs1;Involved in the deoxyxylulose-5-phosphate pathway (DXP) of isoprenoidbiosynthesis (at the first step), and in the biosynthetic pathway to thiamine and pyridoxol (at the first step). Catalyzes the acyloin condensation reaction between atoms 2 and 3 of pyruvate and glyceraldehyde 3-phosphate to yield 1-deoxy-D-xylulose-5-phosphate (DXP).;Probable 1-deoxy-D-xylulose 5-phosphate synthase Dxs1 (1-deoxyxylulose-5-phosphate synthase) (DXP synthase) (DXPS);2776;Only Gene
MSMEG_2780;Rv2678c;hemE;01 E11;ES;GD;ES;ES;ES;NA;ES;-7.751209288;MSMEG_2780_2;uroporphyrinogen decarboxylase; Validated; Region: hemE; PRK00115;First Gene;;hemE;Involved in porphyrin biosynthesis [catalytic activity: uroporphyrinogen III = coproporphyrinogen + 4 CO(2)].;Probable uroporphyrinogen decarboxylase HemE (uroporphyrinogen III decarboxylase) (URO-D) (UPD);2780-2781;First Gene
MSMEG_2782;Rv2676c;-;02 H4;ES;GD;ES;ES;ES;NE;ES;-7.321184106;MSMEG_2782_1;Chlorite dismutase [Inorganic ion transport and metabolism]; Region: YwfI; COG3253;;First Gene;;Rv2676c;Function unknown;Conserved protein;2782-2783;First Gene
MSMEG_2931;Rv2614c;thrS;01 G10;ES;ES;ES;ES;ES;ES;ES;-7.925049965;MSMEG_2931_3;threonyl-tRNA synthetase; Reviewed; Region: thrS; PRK12305;Last Gene;;thrS;Involved in translation mechanism [catalytic activity: ATP + L-threonine + tRNA(THR) = AMP + pyrophosphate + L-threonyl-tRNA(THR)].;Probable threonyl-tRNA synthetase ThrS (threonine-tRNA synthetase)(ThrRS) (threonine-tRNA ligase);2929-2930-2931;Last Gene
MSMEG_2934;Rv2611c;-;03 A3;GD;NE;ES;ES;ES;ES;ES;-5.645223687;MSMEG_2934_1;lipid A biosynthesis lauroyl acyltransferase; Provisional; Region: PRK07920;;Last Gene;;Rv2611c;Catalyzes the acylation of the 6-position of the mannose residue linked to position 2 of the myo-inositol in phosphatylinositol mono- and DI-mannosides.;Probable acyltransferase;2932-2933-2934;Last Gene
MSMEG_2935;Rv2610c;-;03 B11;ES;ES;NE;ES;ES;NA;ES;-3.343158127;MSMEG_2935_1;This family is most closely related to the GT1 family of glycosyltransferases and named after YqgM in Bacillus licheniformis about which little is known. Glycosyltransferases catalyze the transfer of sugar moieties from activated donor molecules to...; Region: GT1_YqgM_like; cd03801;;First Gene;;pimA;Involved in the first mannosylation step in phosphatidylinositol mannoside biosynthesis (transfer of mannose residues onto PI, leading to the synthesis of phosphatidylinositol monomannoside).;Alpha-mannosyltransferase PimA;2935-2936;First Gene
MSMEG_2936;Rv2609c;-;04 F1;ES;ES;ES;ES;NE;NE;ESD;-2.459815902;MSMEG_2936_3;Members of the Nudix hydrolase superfamily catalyze the hydrolysis of NUcleoside DIphosphates linked to other moieties, X. Enzymes belonging to this superfamily requires a divalent cation, such as Mg2+ or Mn2+, for their activity and contain a highly...; Region: Nudix_Hydrolase_26; cd04685;;Last Gene;;Rv2609c;Unknown;Probable conserved membrane protein;2935-2936;Last Gene
MSMEG_2961;Rv2587c;secD;03 F6;ES;ES;ES;ES;ES;NA;ES;-4.840412701;MSMEG_2961_4;preprotein translocase subunit SecD; Reviewed; Region: secD; PRK05812;Only Gene;;secD;Involved in protein export. Part of the prokaryotic protein translocation apparatus which comprise SECA, SECB, SECD, SECE, SECF, SECG and SECY.;Probable protein-export membrane protein SecD;2961;Only Gene
MSMEG_2962;Rv2586c;secF;03 F7;GD;ES;ES;ES;ES;NA;ESD;-4.518613727;MSMEG_2962_2;preprotein translocase subunit SecF; Reviewed; Region: secF; PRK13022;Only Gene;;secF;Involved in protein export. Part of the prokaryotic protein translocation apparatus which comprise SECA, SECB, SECD, SECE, SECF, SECG and SECY.;Probable protein-export membrane protein SecF;2962;Only Gene
MSMEG_2976;Rv2580c;hisS;02 D2;ES;ES;ES;ES;ES;ES;ES;-7.553130072;MSMEG_2976_1;histidyl-tRNA synthetase; Reviewed; Region: hisS; PRK00037;Only Gene;;hisS;Involved in translation mechamism [catalytic activity: ATP + L-histidine + tRNA(his) = AMP + pyrophosphate + L-histidyl-tRNA(his)].;Probable histidyl-tRNA synthetase HisS (histidine--tRNA ligase) (HISRS) (histidine--translase);2976;Only Gene
MSMEG_3003;Rv2572c;aspS;01 H7;ES;ES;ES;ES;ES;NA;ES;-8.257906365;MSMEG_3003_3;aspartyl-tRNA synthetase; Validated; Region: aspS; PRK00476;First Gene;;aspS;Involved in translation mechanism [catalytic activity: ATP + L-aspartate + tRNA(asp) = AMP + pyrophosphate + L-aspartyl-tRNA(asp)].;Probable aspartyl-tRNA synthetase AspS (aspartate--tRNA ligase) (ASPRS) (aspartic acid translase);3003-3004;First Gene
MSMEG_3025;Rv2555c;alaS;01 F12;ES;ES;ES;ES;ES;ES;ES;-7.70085582;MSMEG_3025_5;alanyl-tRNA synthetase; Reviewed; Region: alaS; PRK00252;Only Gene;;alaS;Involved in translation mechanism [catalytic activity: ATP + L-alanine + tRNA(ala) = AMP + pyrophosphate + L-alanyl-tRNA (ala)].;Probable alanyl-tRNA synthetase AlaS (alanine--tRNA ligase) (alanine translase) (ALARS);3025;Only Gene
MSMEG_3030;Rv2540c;aroC;01 A1;ES;GD;ES;ES;ES;ES;ES;-10.18202184;MSMEG_3030_3;chorismate synthase; Validated; Region: PRK05382;;First Gene;;aroF;Involved at the seventh step in the biosynthesis of chorismate within the biosynthesis of aromatic amino acids (the shikimate pathway) [catalytic activity: 5-O-(1-carboxyvinyl)-3-phosphoshikimate = chorismate + orthophosphate].;Probable chorismate synthase AroF (5-enolpyruvylshikimate-3-phosphate phospholyase);3031-3031-3033;First Gene
MSMEG_3031;Rv2539c;aroK;03 F2;ES;GD;ES;ES;NE;ES;ES;-5.710944155;MSMEG_3031_4;shikimate kinase; Reviewed; Region: aroK; PRK00131;Middle Gene;;aroK;Involved at the fifth step in the biosynthesis of chorismate within the biosynthesis of aromatic amino acids (the shikimate pathway) [catalytic activity: ATP + shikimate = ADP + shikimate 3-phosphate].;Shikimate kinase AroK (SK);3031-3031-3033;Middle Gene
MSMEG_3033;Rv2538c;aroB;04 H1;ES;GD;NE;ES;ES;ES;ES;-2.337410747;MSMEG_3033_2;3-dehydroquinate synthase; Reviewed; Region: aroB; PRK00002;Last Gene;;aroB;Involved at the second step in the biosynthesis of chorismate within the biosynthesis of aromatic amino acids (the shikimate pathway) [catalytic activity: 7-phospho-3-deoxy-arabino-heptulosonate = 3-dehydroquinate + orthophosphate].;3-dehydroquinate synthase AroB;3031-3031-3033;Last Gene
MSMEG_3046;Rv1383;carA;02 G7;ES;ES;ES;ES;ES;ES;ES;-6.947315492;MSMEG_3046_1;carbamoyl phosphate synthase small subunit; Reviewed; Region: PRK12564;;Only Gene;;carA;Involved in both arginine and pyrimidine biosynthesis [catalytic activity: 2 ATP + L-glutamine + CO(2) + H(2)O = 2 ADP + phosphate + glutamate + carbamoyl phosphate];Probable carbamoyl-phosphate synthase small chain CarA (carbamoyl-phosphate synthetase glutamine chain);3046;Only Gene
MSMEG_3047;Rv1384;carB;02 B8;ES;ES;ES;ES;ES;NA;ES;-6.888012585;MSMEG_3047_4;carbamoyl phosphate synthase large subunit; Reviewed; Region: carB; PRK05294;Only Gene;;carB;Involved in both arginine and pyrimidine biosynthesis [catalytic activity: 2 ATP + L-glutamine + CO(2) + H(2)O = 2 ADP + phosphate + glutamate + carbamoyl phosphate.];Probable carbamoyl-phosphate synthase large chain CarB (carbamoyl-phosphate synthetase ammonia chain);3047;Only Gene
MSMEG_3048;Rv1385;pyrF;02 C8;ES;ES;NE;ES;NE;NA;ES;-6.871720462;MSMEG_3048_1;orotidine 5'-phosphate decarboxylase; Reviewed; Region: pyrF; PRK00125;Only Gene;;pyrF;Involved in the biosynthesis of pyrimidines [catalytic activity: orotidine 5'-phosphate = UMP + CO(2)];Probable orotidine 5'-phosphate decarboxylase PyrF (OMP decarboxylase) (ompdecase);3048;Only Gene
MSMEG_3051;Rv1389;gmk;01 B4;GD;NE;ES;ES;ES;ES;ES;-8.640642617;MSMEG_3051_5;guanylate kinase; Provisional; Region: gmk; PRK00300;Only Gene;;gmk;Essential for recycling GMP and indirectly, CGMP [catalytic activity: ATP + GMP = ADP + GDP];Probable guanylate kinase Gmk;3051;Only Gene
MSMEG_3053;Rv1390;rpoZ;02 A4;GD;NE;ES;ES;ES;ES;ES;-7.406757738;MSMEG_3053_4;DNA-directed RNA polymerase, omega subunit; Region: rpoZ; TIGR00690;;First Gene;;rpoZ;Promotes RNA polymerase assembly. Latches the N-and C-terminal regions of the beta' subunit thereby faciltating its interaction with the beta and alpha subunits [catalytic activity: N nucleoside triphosphate = N diphosphate + {RNA}N].;Probable DNA-directed RNA polymerase (omega chain) RpoZ (transcriptase omega chain) (RNA polymerase omega subunit);3053-3054;First Gene
MSMEG_3054;Rv1391;coaBC;03 A2;GD;NE;ES;ES;ES;ES;ES;-5.892007757;MSMEG_3054_2;bifunctional phosphopantothenoylcysteine decarboxylase/phosphopantothenate synthase; Validated; Region: PRK05579;;Last Gene;;dfp;Flavoprotein affecting synthesis of DNA and pantothenate metabolism;Probable DNA/pantothenate metabolism flavoprotein homolog Dfp;3053-3054;Last Gene
MSMEG_3055;Rv1392;metK;01 G12;ES;ES;ES;ES;ES;ES;ES;-7.700079142;MSMEG_3055_2;S-adenosylmethionine synthetase; Validated; Region: PRK05250;;Only Gene;;metK;Involved in the activated methyl cycle. Catalyzes the formation of S-adenosylmethionine from methionine and ATP. The overall synthetic reaction is composed of two sequential steps, AdoMet formation and the subsequent tripolyphosphate hydrolysis which occurs prior to release of AdoMet from the enzyme. [catalytic activity : ATP + L-methionine + H(2)O = phosphate + diphosphate + S-adenosyl-L-methionine];Probable S-adenosylmethionine synthetase MetK (mat) (AdoMet synthetase) (methionine adenosyltransferase);3055;Only Gene
MSMEG_3061;Rv1402;priA;03 E11;ES;ES;ES;ES;ES;NE;ES;-3.1183973;MSMEG_3061_2;primosome assembly protein PriA; Provisional; Region: PRK14873;;Only Gene;;priA;"Recognizes a specific hairpin sequence on PHIX SSDNA; this structure is then recognized and bound by proteins PRIB and PRIC. Formation of the primosome proceeds with the subsequent actions of DNAB, DNAC, DNAT and primase. PRIA then functions as a helicase within the primosome";Putative primosomal protein N' PriA (replication factor Y);3061;Only Gene
MSMEG_3066;Rv1408;rpe;01 G3;ES;ES;ES;ES;ES;NA;GD;-8.787249608;MSMEG_3066_1;ribulose-phosphate 3-epimerase; Validated; Region: PRK05581;;First Gene;;rpe;Involved in the calvin cycle [catalytic activity: D-ribulose 5-phosphate = D-xylulose 5- phosphate];Probable ribulose-phosphate 3-epimerase Rpe (PPE) (R5P3E) (pentose-5-phosphate 3-epimerase);3066-3067;First Gene
MSMEG_3067;Rv1409;ribD;03 A4;ES;ES;ES;ES;ES;ES;ES;-5.53406044;MSMEG_3067_2;MafB19-like deaminase; Region: MafB19-deam; cl26022;;Last Gene;*;ribG;Involved in riboflavin biosynthesis (at the second and third steps). Converts 2,5-diamino-6-(ribosylamino)-4(3H)-pyrimidinone 5'-phosphate into 5-amino-6-(ribosylamino)-2,4(1H,3H)-pyrimidinedione 5'-phosphate [catalytic activity 1: 2,5-diamino-6-hydroxy-4-(5-phosphoribosylamino)pyrimidine + H(2)O = 5-amino-6-(5-phosphoribosylamino)uracil + NH(3)] [catalytic activity 2: 5-amino-6-(5-phosphoribitylamino)uracil + NADP(+) = 5-amino-6-(5-phosphoribosylamino)uracil + NADPH].;Probable bifunctional riboflavin biosynthesis protein RibG : diaminohydroxyphosphoribosylaminopyrimidine deaminase (riboflavin-specific deaminase) + 5-amino-6-(5-phosphoribosylamino) uracil reductase (HTP reductase);3066-3067;Last Gene
MSMEG_3072;Rv1415;-;03 G1;ES;ES;ES;ES;ES;ES;ES;-5.967445313;MSMEG_3072_4;bifunctional 3,4-dihydroxy-2-butanone 4-phosphate synthase/GTP cyclohydrolase II protein; Provisional; Region: PRK09311;;Only Gene;;ribA2;Involved in riboflavin biosynthesis [catalytic activity: GTP + 3 H(2)O = formate + 2,5-diamino-6-hydroxy-4-(5-phosphoribosylamino)pyrimidine + diphosphate].;Probable riboflavin biosynthesis protein RibA2 : GTP cyclohydrolase II + 3,4-dihydroxy-2-butanone 4-phosphate synthase (DHBP synthase);3072;Only Gene
MSMEG_3081;Rv1423;-;02 D5;ES;NE;ES;ES;ES;NE;ES;-7.248766734;MSMEG_3081_1;DNA-binding protein WhiA; Region: DNA_bind_WhiA; TIGR00647;;Only Gene;;whiA;Involved in transcriptional mechanism;Probable transcriptional regulatory protein WhiA;3081;Only Gene
MSMEG_3084;Rv1436;gap;03 F10;GD;ES;NE;ES;ES;ES;GD;-3.526109969;MSMEG_3084_5;Glyceraldehyde-3-phosphate dehydrogenase/erythrose-4-phosphate dehydrogenase [Carbohydrate transport and metabolism]; Region: GapA; COG0057;;Only Gene;;gap;Involved in second phase of glycolysis (first step) [catalytic activity: D-glyceraldehyde 3-phosphate + phosphate + NAD(+) = 3-phospho-D-glyceroyl phosphate + NADH.];Probable glyceraldehyde 3-phosphate dehydrogenase Gap (GAPDH);3084;Only Gene
MSMEG_3085;Rv1437;pgk;04 A2;GD;ES;NE;ES;ES;ES;GD;-2.242876012;MSMEG_3085_1;phosphoglycerate kinase; Provisional; Region: pgk; PRK00073;Only Gene;;pgk;Involved in the second phase of glycolysis (second step) [catalytic activity: ATP + 3-phospho-D-glycerate = ADP + 3-phospho-D-glyceroyl phosphate];Probable phosphoglycerate kinase Pgk;3085;Only Gene
MSMEG_3103;Rv1449c;tkt;03 B7;ES;ES;ES;ES;ES;ES;ES;-4.705149996;MSMEG_3103_5;Transketolase [Carbohydrate transport and metabolism]; Region: TktA; COG0021;;Only Gene;;tkt;This enzyme, together with transaldolase, provides a link between the glycolytic and pentose-phosphate pathways. It catalyzes the reversible transfer of a two-carbon KETOL unit from xylulose 5-phosphate to an aldose receptor [catalytic activity: sedoheptulose 7-phosphate + D-glyceraldehyde 3-phosphate = D-ribose 5-phosphate + D-xylulose 5-phosphate];Transketolase Tkt (TK);3103;Only Gene
MSMEG_3123;Rv1461;sufD;02 G3;ES;ES;ES;ES;ES;ES;ES;-7.415065677;MSMEG_3123_4;Uncharacterized protein family (UPF0051); Region: UPF0051; cl27565;;Last Gene;;Rv1461;Function unknown;Conserved protein;3122-3123;Last Gene
MSMEG_3124;Rv1463;sufC;02 D3;ES;ES;ES;ES;ES;ES;ES;-7.464087882;MSMEG_3124_2;FeS assembly ATPase SufC; Region: sufC; TIGR01978;;First Gene;;Rv1463;Thought to be involved in active transport across the membrane. Responsible for energy coupling to the transport system.;Probable conserved ATP-binding protein ABC transporter;3124-3125-3126;First Gene
MSMEG_3125;Rv1464;-;02 H3;ES;ES;ES;ES;ES;ES;ES;-7.409051439;MSMEG_3125_1;cysteine desulfurases, SufSfamily; Region: sufS; TIGR01979;;Middle Gene;;csd;Catalyzes the removal of elemental sulfur and selenium atoms from L-cysteine, L-cystine, L-selenocysteine, and L-selenocystine to produce L-alanine;Probable cysteine desulfurase Csd;3124-3125-3126;Middle Gene
MSMEG_3143;Rv1475c;acnA;01 C8;ES;ES;ES;ES;ES;ES;ES;-8.249445341;MSMEG_3143_5;aconitate hydratase; Validated; Region: PRK09277;;Only Gene;;acn;Involved in tricarboxylic acid cycle [catalytic activity: citrate = cis-aconitate + H2O];Probable iron-regulated aconitate hydratase Acn (citrate hydro-lyase) (aconitase);3143;Only Gene
MSMEG_3150;Rv1483;fabG;02 F6;ES;ES;ES;ES;ES;NE;ES;-7.159669547;MSMEG_3150_5;beta-Keto acyl carrier protein reductase (BKR), involved in Type II FAS, classical (c) SDRs; Region: BKR_SDR_c; cd05333;;Only Gene;;fabG1;"Involved in the fatty acid biosynthesis pathway (first reduction step) (mycolic acid biosynthesis); reduces KASA/KASB products [catalytic activity: (3R)-3-hydroxyacyl-[acyl-carrier protein] + NADP+ = 3-oxoacyl-[acyl-carrier protein] + NADPH].";3-oxoacyl-[acyl-carrier protein] reductase FabG1 (3-ketoacyl-acyl carrier protein reductase) (mycolic acid biosynthesis a protein);3150;Only Gene
MSMEG_3151;Rv1484;-;02 H8;ES;ES;ES;ES;ES;NE;ES;-6.827310944;MSMEG_3151_2;enoyl-(acyl carrier protein) reductase; Provisional; Region: PRK07889;;First Gene;;inhA;This isozyme is involved in mycolic acid biosynthesis. Second reductive step in fatty acid biosynthesis. Involved in the resistance against the antituberculosis drugs isoniazid and ethionamide [catalytic activity: acyl-[acyl-carrier protein] + NAD(+) = trans-2,3-dehydroacyl-[acyl-carrier protein] + NADH].;NADH-dependent enoyl-[acyl-carrier-protein] reductase InhA (NADH-dependent enoyl-ACP reductase);3151-3152;First Gene
MSMEG_3152;Rv1485;hemH;03 G7;ES;ES;NE;ES;ES;ES;ES;-4.518486724;MSMEG_3152_4;ferrochelatase; Reviewed; Region: hemH; PRK00035;Last Gene;;hemZ;Involved in protoheme biosynthesis (last step). Catalyzes the insertion of ferrous iron into protoporphyrin IX to form protoheme [catalytic activity: protoporphyrin + FE(2+) = protoheme + 2 H(+)].;Ferrochelatase HemZ (protoheme ferro-lyase) (heme synthetase);3151-3152;Last Gene
MSMEG_3169;Rv1536;ileS;01 B7;ES;ES;ES;ES;ES;NA;ES;-8.362513723;MSMEG_3169_2;isoleucyl-tRNA synthetase; Reviewed; Region: ileS; PRK06039;Only Gene;;ileS;Charging ILE tRNA [catalytic activity: ATP + L-isoleucine + tRNA(ILE) = AMP + diphosphate + L-isoleucyl-tRNA(ILE)].;Isoleucyl-tRNA synthetase IleS;3169;Only Gene
MSMEG_3178;Rv1547;dnaE;01 F9;ES;ES;ES;ES;ES;ES;ES;-8.078048655;MSMEG_3178_2;DNA polymerase III subunit alpha; Validated; Region: dnaE; PRK05673;Only Gene;;dnaE1;DNA polymerase III is a complex, multichain enzyme responsible for most of the replicative synthesis in bacteria. This DNA polymerase also exhibits 3' to 5' exonuclease activity. The alpha chain is the DNA polymerase [catalytic activity: N deoxynucleoside triphosphate = N diphosphate + {DNA}(N)].;Probable DNA polymerase III (alpha chain) DnaE1 (DNA nucleotidyltransferase);3178;Only Gene
MSMEG_3205;Rv1599;hisD;03 F8;ES;ES;ES;ES;ES;ES;ES;-4.173780922;MSMEG_3205_1;bifunctional histidinal dehydrogenase/ histidinol dehydrogenase; Reviewed; Region: hisD; PRK00877;Only Gene;;hisD;Involved in histidine biosynthesis pathway (tenth step). This protein is considered as a bifunctional enzyme, possessing two active sites, one an alcohol dehydrogenase and the other an aldehyde dehydrogenase [catalytic activity: L-histidinol + 2 NAD(+) + H(2)O = L-histidine + 2 NADH].;Probable histidinol dehydrogenase HisD (HDH);3205;Only Gene
MSMEG_3206;Rv1600;hisC;01 H8;ES;ES;ES;ES;ES;ES;ES;-8.15192983;MSMEG_3206_2;histidinol-phosphate aminotransferase; Provisional; Region: PRK03317;;Only Gene;;hisC1;Histidine biosynthesis (eighth step) [catalytic activity: L-histidinol-phosphate + 2-oxoglutarate = 3-(imidazol-4-YL)-2-oxopropyl phosphate + L-glutamate];Probable histidinol-phosphate aminotransferase HisC1;3206;Only Gene
MSMEG_3207;Rv1601;hisB;02 F8;ES;ES;ES;ES;ES;ES;ES;-6.833775608;MSMEG_3207_1;imidazoleglycerol-phosphate dehydratase; Validated; Region: hisB; PRK00951;Only Gene;;hisB;Histidine biosynthesis (seventh step) [catalytic activity: D-erythro-1-(imidazol-4-YL)glycerol 3- phosphate = 3-(imidazol-4-YL)-2-oxopropyl phosphate + H(2)O];Probable imidazole glycerol-phosphate dehydratase HisB;3207;Only Gene
MSMEG_3208;Rv1602;hisH;01 B5;ES;ES;ES;ES;ES;ES;ES;-8.518259729;MSMEG_3208_1;imidazole glycerol phosphate synthase subunit HisH; Provisional; Region: hisH; PRK13146;Only Gene;;hisH;Histidine biosynthesis pathway (fifth step). Catalyzes an amidotransferase reaction that generates imidazole-glycerol phosphate and 5-aminoimidazol-4-carboxamide ribonucleotide, which is used for purine synthesis.;Probable amidotransferase HisH;3208;Only Gene
MSMEG_3209;Rv1603;-;03 G8;ES;ES;NE;ES;ES;ES;ES;-4.134303095;MSMEG_3209_1;phosphoribosyl isomerase A; Provisional; Region: PRK14024;;First Gene;;hisA;Histidine biosynthesis pathway (fourth step) [catalytic activity: N-(5'-phospho-D-ribosylformimino)-5-amino-1-(5''-phosphoribosyl)-4-imidazolecarb oxamide = N-(5'-phospho-D-1'-ribulosylformimino)-5-amino-1-(5''-phosphoribosyl)-4- imidazolecarboxamide.];Probable phosphoribosylformimino-5-aminoimidazole carboxamide ribotide isomerase HisA;3209-3210;First Gene
MSMEG_3211;Rv1605;hisF;03 D10;NE;ES;ES;ES;ES;ES;ES;-3.6749401;MSMEG_3211_1;imidazole glycerol phosphate synthase subunit HisF; Provisional; Region: PRK02083;;First Gene;;hisF;Histidine biosynthesis pathway (sixth step). Catalyzes the cyclization reaction that produces D-erythro-imidazole glycerol phosphate.;Probable cyclase HisF;3211-3212;First Gene
MSMEG_3212;Rv1606;hisI;03 G10;NE;ES;NE;ES;ES;ES;ES;-3.49715842;MSMEG_3212_5;phosphoribosyl-AMP cyclohydrolase; Reviewed; Region: hisI; PRK00051;Last Gene;;hisI;Involved in histidine biosynthesis pathway (at the third step) [catalytic activity: 5-phosphoribosyl-AMP + H(2)O = 5-(5-phospho-D-ribosylaminoformimino)-1-(5-phospho-ribosyl) imidazole-4- carboxamide.];Probable phosphoribosyl-AMP 1,6 cyclohydrolase HisI;3211-3212;Last Gene
MSMEG_3213;Rv3263;-;01 B12;ES;ES;ES;ES;NE;NE;NE;-7.725741157;MSMEG_3213_2;Adenine-specific DNA methylase [Replication, recombination and repair]; Region: YtxK; COG0827;;Only Gene;;Rv3263;Causes DNA methylation.;Probable DNA methylase (modification methylase) (methyltransferase);3213;Only Gene
MSMEG_3219;Rv1611;trpC;01 F7;GD;ES;ES;ES;ES;ES;ES;-8.280417535;MSMEG_3219_4;indole-3-glycerol-phosphate synthase; Reviewed; Region: trpC; PRK00278;Only Gene;;trpC;Tryptophan biosynthesis pathway (fourth step) [catalytic activity: 1-(2-carboxyphenylamino)-1-deoxy-D-ribulose 5-phosphate = 1-(indol-3-YL)glycerol 3-phosphate + CO(2) + H(2)O.];Probable indole-3-glycerol phosphate synthase TrpC;3214;Only Gene
MSMEG_3220;Rv1612;trpB;02 C3;ES;ES;ES;ES;ES;ES;ES;-7.475814479;MSMEG_3220_2;tryptophan synthase subunit beta; Validated; Region: PRK04346;;First Gene;;trpB;Tryptophan biosynthesis pathway (fifth last step). The beta subunit is responsible for the synthesis of L-tryptophan from indole and L-serine. [catalytic activity: L-serine + 1-(indol-3-YL)glycerol 3-phosphate = L-tryptophan + glyceraldehyde 3-phosphate + H(2)O];Tryptophan synthase, beta subunit TrpB;3220-3221;First Gene
MSMEG_3221;Rv1613;trpA;01 D9;ES;ES;ES;ES;ES;ES;ES;-8.119926751;MSMEG_3221_1;tryptophan synthase subunit alpha; Provisional; Region: trpA; PRK13111;Last Gene;;trpA;Tryptophan biosynthesis pathway (fifth - last step). The alpha subunit is responsible for the ALDOL cleavage of indoleglycerol phosphate to indole and glyceraldehyde 3- phosphate. [catalytic activity: L-serine + 1-(indol-3-YL)glycerol 3-phosphate = L-tryptophan + glyceraldehyde 3-phosphate + H(2)O.];Probable tryptophan synthase, alpha subunit TrpA;3220-3221;Last Gene
MSMEG_3621;Rv1854c;ndh;01 G4;ES;ES;ES;ES;ES;NA;GD;-8.549053029;MSMEG_3621_1;NADH dehydrogenase, FAD-containing subunit [Energy production and conversion]; Region: Ndh; COG1252;;Only Gene;;ndh;Transfer of electrons from NADH to the respiratory chain. The immediate electron acceptor for the enzyme is believed to be ubiquinone. Does not couple the redox reaction to proton translocation.;Probable NADH dehydrogenase Ndh;3621;Only Gene
MSMEG_3652;Rv1822;-;03 F4;ES;NE;ES;ES;ES;NA;ES;-5.403463905;MSMEG_3652_2;Phosphatidylglycerophosphate synthase [Lipid transport and metabolism]; Region: PgsA; COG0558;;First Gene;;pgsA2;"Thought to be involved in cardiolipin biosynthesis; generates cardiolipin from phosphatidylglycerol and CDP-diacylglycerol [catalytic activity: may be: phosphatidylglycerol + phosphatidylglycerol -> cardiolipin + glycerol, or: CDP-diacylglycerol + glycerol 3-phosphate = CMP + 3-(3-phosphatidyl)-glycerol 1-phosphate].";Probable CDP-diacylglycerol--glycerol-3-phosphate 3-phosphatidyltransferase PgsA2 (PGP synthase) (phosphatidylglycerophosphate synthase) (3-phosphatidyl-1'-glycerol-3'phosphate synthase);3652-3651;First Gene
MSMEG_3738;Rv1713;engA;01 C10;GD;ES;ES;ES;ES;ES;ES;-8.02308898;MSMEG_3738_5;GTP-binding protein Der; Reviewed; Region: PRK03003;;First Gene;;engA;Binds both GDP and GTP. Has an intrinsic GTPase activity and is essential for cell growth.;Probable GTP-binding protein EngA;3738-3737;First Gene
MSMEG_3739;Rv1712;cmk;03 G2;GD;ES;ES;ES;ES;ES;GD;-5.700445313;MSMEG_3739_2;cytidylate kinase; Provisional; Region: cmk; PRK00023;Last Gene;;cmk;Catalyzes the transfer of a phosphate group from ATP to either CMP or dCMP to form CDP or dCDP and ADP [catalytic activity: ATP + CMP = ADP + CDP].;Cytidylate kinase Cmk (CMP kinase) (cytidine monophosphate kinase) (ck);3740-3739;Last Gene
MSMEG_3746;Rv1699;pyrG;02 E10;ES;ES;ES;ES;ES;ES;ES;-6.547619483;MSMEG_3746_3;CTP synthetase; Validated; Region: pyrG; PRK05380;First Gene;;pyrG;Pyrimidine biosynthesis (last step) [catalytic activity: ATP + UTP + glutamine = ADP + orthophosphate + CTP (ammonia can replace glutamine).];Probable CTP synthase PyrG;3746-3745-3744;First Gene
MSMEG_3758;Rv1689;tyrS;01 A8;ES;ES;ES;ES;ES;ES;ES;-8.256774803;MSMEG_3758_1;tyrosyl-tRNA synthetase; Validated; Region: PRK05912;;;;tyrS;Involved in translation mechanism [catalytic activity: ATP + L-tyrosine + tRNA(TYR) = AMP + diphosphate + L-tyrosyl-tRNA(TYR)];Probable tyrosyl-tRNA synthase TyrS (TYRRS);NA;
MSMEG_3769;Rv1659;argH;01 A4;ES;GD;ES;ES;ES;ES;ES;-8.664198369;MSMEG_3769_1;Argininosuccinate lyase [Amino acid transport and metabolism]; Region: ArgH; cl28390;;Last Gene;;argH;Arginine biosynthesis (last step) [catalytic activity: N-(L-arginino)succinate = fumarate + L- arginine];Probable argininosuccinate lyase ArgH;3770-3669;Last Gene
MSMEG_3770;Rv1658;argG;02 C7;ES;GD;ES;ES;ES;ES;ES;-7.104231809;MSMEG_3770_2;Arginosuccinate synthase; Region: Arginosuc_synth; pfam00764;;First Gene;;argG;Arginine biosynthesis [catalytic activity: ATP + L-citrulline + L-aspartate = AMP + diphosphate + L-argininosuccinate];Probable argininosuccinate synthase ArgG;3770-3669;First Gene
